Date,Price,Volume,Market,Volatility,Price-to-Volume Ratio,SMA_50,OpenMarket,year,month,day,World_Population,USD_in_Circulation,Age_0_17,Age_17_64,Age_65_plus
2023-11-27,4.39,1.0,US Bonds,0.0173065920060846,4.39,4.6411,1,2023,11,27,8.03550692033064,22.38128820853924,2.0892317992859666,5.223079498214916,0.7231956228297576
2023-11-28,4.34,1.0,US Bonds,0.016566790067818,4.34,4.6405,1,2023,11,28,8.0357074387441,22.384692130875035,2.0892839340734657,5.223209835183665,0.7232136694869689
2023-11-29,4.27,1.0,US Bonds,0.0162792947402752,4.27,4.6389000000000005,1,2023,11,29,8.035907957157558,22.38809605321083,2.089336068860965,5.2233401721524135,0.7232317161441802
2023-11-30,4.37,1.0,US Bonds,0.0167235285596057,4.37,4.6365,1,2023,11,30,8.036108475571016,22.391499975546623,2.0893882036484643,5.22347050912116,0.7232497628013914
2023-12-01,4.22,1.0,US Bonds,0.0175811835823114,4.22,4.6321,1,2023,12,1,8.036308993984475,22.394903897882426,2.0894403384359634,5.2236008460899095,0.7232678094586027
2023-12-02,0.0,0.0,US Bonds,0.0,0.0,0.0,0,2023,12,2,8.036509512397934,22.39830782021821,2.089492473223463,5.223731183058658,0.7232858561158141
2023-12-03,0.0,0.0,US Bonds,0.0,0.0,0.0,0,2023,12,3,8.036710030811394,22.40171174255401,2.0895446080109625,5.223861520027406,0.7233039027730254
2023-12-04,4.28,1.0,US Bonds,0.0178333156253682,4.28,4.6267,1,2023,12,4,8.036910549224853,22.40511566488981,2.0895967427984616,5.223991856996155,0.7233219494302368
2023-12-05,4.18,1.0,US Bonds,0.0181760440530082,4.18,4.6191,1,2023,12,5,8.037111067638312,22.4085195872256,2.089648877585961,5.224122193964903,0.723339996087448
2023-12-06,4.12,1.0,US Bonds,0.0173741910107064,4.12,4.6093,1,2023,12,6,8.037311586051771,22.4119235095614,2.0897010123734607,5.224252530933652,0.7233580427446594
2023-12-07,4.14,1.0,US Bonds,0.0173240544439083,4.14,4.600300000000001,1,2023,12,7,8.03751210446523,22.41532743189719,2.08975314716096,5.2243828679024,0.7233760894018707
2023-12-08,4.23,1.0,US Bonds,0.0180086513160367,4.23,4.5931,1,2023,12,8,8.03771262287869,22.418731354232985,2.0898052819484594,5.2245132048711485,0.7233941360590821
2023-12-09,0.0,0.0,US Bonds,0.0,0.0,0.0,0,2023,12,9,8.03791314129215,22.42213527656878,2.089857416735959,5.224643541839897,0.7234121827162934
2023-12-10,0.0,0.0,US Bonds,0.0,0.0,0.0,0,2023,12,10,8.038113659705608,22.425539198904573,2.0899095515234585,5.224773878808645,0.7234302293735048
2023-12-11,4.23,1.0,US Bonds,0.0178721534108734,4.23,4.5839,1,2023,12,11,8.038314178119068,22.42894312124037,2.0899616863109576,5.224904215777395,0.723448276030716
2023-12-12,4.2,1.0,US Bonds,0.0178561286973745,4.2,4.5717,1,2023,12,12,8.038514696532527,22.432347043576165,2.090013821098457,5.225034552746143,0.7234663226879274
2023-12-13,4.04,1.0,US Bonds,0.0185983688019212,4.04,4.5579,1,2023,12,13,8.038715214945986,22.43575096591196,2.0900659558859567,5.225164889714892,0.7234843693451387
2023-12-14,3.92,1.0,US Bonds,0.0189170017164689,3.92,4.5419,1,2023,12,14,8.038915733359445,22.43915488824776,2.090118090673456,5.22529522668364,0.7235024160023501
2023-12-15,3.91,1.0,US Bonds,0.0186868898999066,3.91,4.524500000000001,1,2023,12,15,8.039116251772905,22.44255881058355,2.0901702254609558,5.225425563652388,0.7235204626595614
2023-12-16,0.0,0.0,US Bonds,0.0,0.0,0.0,0,2023,12,16,8.039316770186364,22.445962732919345,2.090222360248455,5.225555900621137,0.7235385093167728
2023-12-17,0.0,0.0,US Bonds,0.0,0.0,0.0,0,2023,12,17,8.039517288599823,22.44936665525514,2.090274495035954,5.225686237589885,0.723556555973984
2023-12-18,3.95,1.0,US Bonds,0.0182239191724036,3.95,4.5091,1,2023,12,18,8.039717807013282,22.452770577590933,2.090326629823453,5.225816574558634,0.7235746026311954
2023-12-19,3.93,1.0,US Bonds,0.0180347362339515,3.93,4.4945,1,2023,12,19,8.039918325426742,22.45617449992673,2.090378764610953,5.225946911527382,0.7235926492884067
2023-12-20,3.86,1.0,US Bonds,0.0179860385302716,3.86,4.4801,1,2023,12,20,8.040118843840201,22.459578422262524,2.090430899398452,5.22607724849613,0.7236106959456181
2023-12-21,3.89,1.0,US Bonds,0.0170013314787782,3.89,4.463900000000001,1,2023,12,21,8.04031936225366,22.46298234459832,2.090483034185952,5.22620758546488,0.7236287426028294
2023-12-22,3.9,1.0,US Bonds,0.0170559827964334,3.9,4.4493,1,2023,12,22,8.04051988066712,22.46638626693412,2.0905351689734517,5.226337922433628,0.7236467892600407
2023-12-23,0.0,0.0,US Bonds,0.0,0.0,0.0,0,2023,12,23,8.040720399080579,22.469790189269908,2.0905873037609504,5.226468259402377,0.7236648359172521
2023-12-24,0.0,0.0,US Bonds,0.0,0.0,0.0,0,2023,12,24,8.040920917494038,22.473194111605707,2.09063943854845,5.226598596371125,0.7236828825744633
2023-12-25,3.895,1.0,US Bonds,0.016975805240031,3.895,4.433,1,2023,12,25,8.041121435907497,22.4765980339415,2.090691573335949,5.226728933339873,0.7237009292316747
2023-12-26,3.89,1.0,US Bonds,0.0156113822574473,3.89,4.4142,1,2023,12,26,8.041321954320956,22.48000195627729,2.090743708123449,5.226859270308622,0.723718975888886
2023-12-27,3.79,1.0,US Bonds,0.0153731701769642,3.79,4.3918,1,2023,12,27,8.041522472734416,22.48340587861309,2.090795842910948,5.22698960727737,0.7237370225460974
2023-12-28,3.84,1.0,US Bonds,0.0155837983756594,3.84,4.369000000000001,1,2023,12,28,8.041722991147875,22.486809800948883,2.090847977698448,5.227119944246119,0.7237550692033087
2023-12-29,3.88,1.0,US Bonds,0.0158245400321499,3.88,4.348,1,2023,12,29,8.041923509561334,22.490213723284683,2.0909001124859468,5.227250281214867,0.7237731158605201
2023-12-30,0.0,0.0,US Bonds,0.0,0.0,0.0,0,2023,12,30,8.042124027974793,22.493617645620475,2.0909522472734463,5.227380618183616,0.7237911625177313
2023-12-31,0.0,0.0,US Bonds,0.0,0.0,0.0,0,2023,12,31,8.042324546388253,22.49702156795627,2.091004382060946,5.227510955152365,0.7238092091749427
