Date,Price,Volume,Market,Volatility,Price-to-Volume Ratio,SMA_50,OpenMarket
2022-02-13,0.0,0.0,SP500,0.0,0.0,0.0,0
2022-02-14,4401.669921875,4600390000.0,SP500,0.0122279710724941,9.568036453159406e-07,4605.24080078125,1
2022-02-15,4471.06982421875,4430830000.0,SP500,0.0125802098537098,1.0090817802124545e-06,4603.89359375,1
2022-02-16,4475.009765625,4283640000.0,SP500,0.0125899944914801,1.0446745678033168e-06,4601.560390625,1
2022-02-17,4380.259765625,4539420000.0,SP500,0.0126776603899468,9.64938200392341e-07,4595.4305859375,1
2022-02-18,4348.8701171875,4708060000.0,SP500,0.012706131842711,9.237074542778768e-07,4588.3837890625,1
2022-02-19,0.0,0.0,SP500,0.0,0.0,0.0,0
2022-02-20,0.0,0.0,SP500,0.0,0.0,0.0,0
2022-02-21,0.0,0.0,SP500,0.0,0.0,0.0,0
2022-02-22,4304.759765625,5121900000.0,SP500,0.0127805894357016,8.404615017132314e-07,4581.12998046875,1
2022-02-23,4225.5,4797430000.0,SP500,0.013095486573356,8.80784086479636e-07,4571.399580078125,1
2022-02-24,4288.7001953125,6752130000.0,SP500,0.013325623296837,6.351625628227685e-07,4563.7941796875,1
2022-02-25,4384.64990234375,5177060000.0,SP500,0.014079699278702,8.469382047617277e-07,4558.805380859375,1
2022-02-26,0.0,0.0,SP500,0.0,0.0,0.0,0
2022-02-27,0.0,0.0,SP500,0.0,0.0,0.0,0
2022-02-28,4373.93994140625,6071370000.0,SP500,0.0139011878297381,7.20420587347872e-07,4552.087177734375,1
2022-03-01,4306.259765625,5846230000.0,SP500,0.0141036600345513,7.365874701517046e-07,4544.838974609375,1
2022-03-02,4386.5400390625,5337870000.0,SP500,0.01428917050941,8.217772330653426e-07,4540.15697265625,1
2022-03-03,4363.490234375,5039890000.0,SP500,0.0142223592526795,8.657907681268837e-07,4536.066376953125,1
2022-03-04,4328.8701171875,5797380000.0,SP500,0.0141592617690195,7.466942165577381e-07,4529.6591796875,1
2022-03-05,0.0,0.0,SP500,0.0,0.0,0.0,0
2022-03-06,0.0,0.0,SP500,0.0,0.0,0.0,0
2022-03-07,4201.08984375,6940470000.0,SP500,0.0147405609474748,6.053033647216976e-07,4519.749775390625,1
2022-03-08,4170.7001953125,7243120000.0,SP500,0.0147556308050388,5.758154214361352e-07,4508.647978515625,1
2022-03-09,4277.8798828125,5662670000.0,SP500,0.0154377366379579,7.554527957328434e-07,4498.38177734375,1
